Year,UNIT_MEASURE,Admin area,Value
2011,Broj,federation_of_bih,12511
2011,Broj,una-sana_canton,1661
2011,Broj,posavina_canton,144
2011,Broj,tuzla_canton,2611
2011,Broj,zenica-doboj_canton,2279
2011,Broj,bosnian-podrinje_canton,164
2011,Broj,central_bosnia_canton,1272
2011,Broj,herzegovina-neretva_canton,1103
2011,Broj,west_herzegovina_canton,368
2011,Broj,sarajevo_canton,2655
2011,Broj,canton_10,254
2012,Broj,federation_of_bih,11936
2012,Broj,una-sana_canton,1504
2012,Broj,posavina_canton,154
2012,Broj,tuzla_canton,2576
2012,Broj,zenica-doboj_canton,2248
2012,Broj,bosnian-podrinje_canton,135
2012,Broj,central_bosnia_canton,1201
2012,Broj,herzegovina-neretva_canton,1014
2012,Broj,west_herzegovina_canton,374
2012,Broj,sarajevo_canton,2497
2012,Broj,canton_10,233
2013,Broj,federation_of_bih,11313
2013,Broj,una-sana_canton,1441
2013,Broj,posavina_canton,152
2013,Broj,tuzla_canton,2458
2013,Broj,zenica-doboj_canton,1997
2013,Broj,bosnian-podrinje_canton,137
2013,Broj,central_bosnia_canton,1078
2013,Broj,herzegovina-neretva_canton,1027
2013,Broj,west_herzegovina_canton,344
2013,Broj,sarajevo_canton,2453
2013,Broj,canton_10,226
2014,Broj,federation_of_bih,11891
2014,Broj,una-sana_canton,1468
2014,Broj,posavina_canton,140
2014,Broj,tuzla_canton,2461
2014,Broj,zenica-doboj_canton,2250
2014,Broj,bosnian-podrinje_canton,155
2014,Broj,central_bosnia_canton,1216
2014,Broj,herzegovina-neretva_canton,1048
2014,Broj,west_herzegovina_canton,333
2014,Broj,sarajevo_canton,2600
2014,Broj,canton_10,220
2015,Broj,federation_of_bih,12888
2015,Broj,una-sana_canton,1629
2015,Broj,posavina_canton,151
2015,Broj,tuzla_canton,2859
2015,Broj,zenica-doboj_canton,2458
2015,Broj,bosnian-podrinje_canton,155
2015,Broj,central_bosnia_canton,1318
2015,Broj,herzegovina-neretva_canton,1023
2015,Broj,west_herzegovina_canton,362
2015,Broj,sarajevo_canton,2664
2015,Broj,canton_10,269
2016,Broj,federation_of_bih,12790
2016,Broj,una-sana_canton,1746
2016,Broj,posavina_canton,122
2016,Broj,tuzla_canton,2821
2016,Broj,zenica-doboj_canton,2301
2016,Broj,bosnian-podrinje_canton,169
2016,Broj,central_bosnia_canton,1298
2016,Broj,herzegovina-neretva_canton,1067
2016,Broj,west_herzegovina_canton,392
2016,Broj,sarajevo_canton,2615
2016,Broj,canton_10,259
2017,Broj,federation_of_bih,12994
2017,Broj,una-sana_canton,1750
2017,Broj,posavina_canton,143
2017,Broj,tuzla_canton,2886
2017,Broj,zenica-doboj_canton,2397
2017,Broj,bosnian-podrinje_canton,137
2017,Broj,central_bosnia_canton,1428
2017,Broj,herzegovina-neretva_canton,1028
2017,Broj,west_herzegovina_canton,402
2017,Broj,sarajevo_canton,2561
2017,Broj,canton_10,262
2018,Broj,federation_of_bih,13061
2018,Broj,una-sana_canton,1842
2018,Broj,posavina_canton,117
2018,Broj,tuzla_canton,2879
2018,Broj,zenica-doboj_canton,2456
2018,Broj,bosnian-podrinje_canton,120
2018,Broj,central_bosnia_canton,1406
2018,Broj,herzegovina-neretva_canton,1071
2018,Broj,west_herzegovina_canton,405
2018,Broj,sarajevo_canton,2523
2018,Broj,canton_10,242
2019,Broj,federation_of_bih,12266
2019,Broj,una-sana_canton,1865
2019,Broj,posavina_canton,112
2019,Broj,tuzla_canton,2642
2019,Broj,zenica-doboj_canton,2207
2019,Broj,bosnian-podrinje_canton,125
2019,Broj,central_bosnia_canton,1325
2019,Broj,herzegovina-neretva_canton,1001
2019,Broj,west_herzegovina_canton,376
2019,Broj,sarajevo_canton,2382
2019,Broj,canton_10,231
2020,Broj,federation_of_bih,10224
2020,Broj,una-sana_canton,1391
2020,Broj,posavina_canton,78
2020,Broj,tuzla_canton,2120
2020,Broj,zenica-doboj_canton,1979
2020,Broj,bosnian-podrinje_canton,125
2020,Broj,central_bosnia_canton,1077
2020,Broj,herzegovina-neretva_canton,864
2020,Broj,west_herzegovina_canton,354
2020,Broj,sarajevo_canton,2029
2020,Broj,canton_10,207
