Year,UNIT_MEASURE,Град/општина,Пол,Врста потешкоће,Value
2013,Број,banovici,Оба пола,T,1839
2013,Број,bihac,Оба пола,T,4952
2013,Број,bosanska_krupa,Оба пола,T,2373
2013,Број,bosanski_petrovac,Оба пола,T,654
2013,Број,bosansko_grahovo,Оба пола,T,319
2013,Број,breza,Оба пола,T,1289
2013,Број,bugojno,Оба пола,T,2436
2013,Број,busovaca,Оба пола,T,1274
2013,Број,buzim,Оба пола,T,1064
2013,Број,cazin,Оба пола,T,4563
2013,Број,centar_sarajevo,Оба пола,T,4800
2013,Број,capljina,Оба пола,T,1736
2013,Број,celic,Оба пола,T,1132
2013,Број,citluk,Оба пола,T,1078
2013,Број,doboj-istok,Оба пола,T,1056
2013,Број,doboj-jug,Оба пола,T,321
2013,Број,dobretici,Оба пола,T,201
2013,Број,domaljevac-samac,Оба пола,T,452
2013,Број,donji_vakuf,Оба пола,T,1218
2013,Број,drvar,Оба пола,T,1017
2013,Број,foca-fbih,Оба пола,T,211
2013,Број,fojnica,Оба пола,T,1742
2013,Број,glamoc,Оба пола,T,479
2013,Број,gorazde,Оба пола,T,2279
2013,Број,gornji_vakuf-uskoplje,Оба пола,T,1439
2013,Број,gracanica,Оба пола,T,3618
2013,Број,gradacac,Оба пола,T,3077
2013,Број,grude,Оба пола,T,867
2013,Број,hadzici,Оба пола,T,2264
2013,Број,ilidza,Оба пола,T,5142
2013,Број,ilijas,Оба пола,T,1733
2013,Број,jablanica,Оба пола,T,735
2013,Број,jajce,Оба пола,T,2171
2013,Број,kakanj,Оба пола,T,2591
2013,Број,kalesija,Оба пола,T,3029
2013,Број,kiseljak,Оба пола,T,1602
2013,Број,kladanj,Оба пола,T,1007
2013,Број,kljuc,Оба пола,T,1079
2013,Број,konjic,Оба пола,T,2071
2013,Број,kresevo,Оба пола,T,463
2013,Број,kupres-fbih,Оба пола,T,305
2013,Број,livno,Оба пола,T,1776
2013,Број,lukavac,Оба пола,T,5056
2013,Број,ljubuski,Оба пола,T,1740
2013,Број,maglaj,Оба пола,T,2138
2013,Број,mostar,Оба пола,T,7239
2013,Број,neum,Оба пола,T,272
2013,Број,novi_grad_sarajevo,Оба пола,T,10183
2013,Број,novi_travnik,Оба пола,T,1819
2013,Број,novo_sarajevo,Оба пола,T,5230
2013,Број,odzak,Оба пола,T,1164
2013,Број,olovo,Оба пола,T,1119
2013,Број,orasje,Оба пола,T,1771
2013,Број,pale-fbih,Оба пола,T,129
2013,Број,posusje,Оба пола,T,1131
2013,Број,prozor,Оба пола,T,666
2013,Број,ravno,Оба пола,T,135
