Year,UNIT_MEASURE,Врста установе,Value
2011,Број,Укупно,
2012,Број,Укупно,
2013,Број,Укупно,
2014,Број,Укупно,
2015,Број,Укупно,
2016,Број,Укупно,
2017,Број,Укупно,
2018,Број,Укупно,
2019,Број,Укупно,
2020,Број,Укупно,
2011,Број,Јавна,
2012,Број,Јавна,
2013,Број,Јавна,
2014,Број,Јавна,
2015,Број,Јавна,
2016,Број,Јавна,
2017,Број,Јавна,
2018,Број,Јавна,
2019,Број,Јавна,
2020,Број,Јавна,
2011,Број,Приватна,
2012,Број,Приватна,
2013,Број,Приватна,
2014,Број,Приватна,
2015,Број,Приватна,
2016,Број,Приватна,
2017,Број,Приватна,
2018,Број,Приватна,
2019,Број,Приватна,
2020,Број,Приватна,
